iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__penalty,param_clf__l1_ratio,param_clf__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,80,0.14814047813415526,0.02482226414275373,0.016904592514038086,0.0035974818026494023,l1,0.1,22.854638641349883,"{'clf__penalty': 'l1', 'clf__l1_ratio': np.float64(0.1), 'clf__C': np.float64(22.854638641349883)}",0.828125,0.6181818181818182,0.7666666666666666,0.625,0.7333333333333334,0.7142613636363636,0.08157677805937869,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,80,0.04360332489013672,0.0039931210871075856,0.01375117301940918,0.007269058324468474,elasticnet,0.0,2.154434690031882,"{'clf__penalty': 'elasticnet', 'clf__l1_ratio': np.float64(0.0), 'clf__C': np.float64(2.154434690031882)}",0.859375,0.7272727272727273,0.7166666666666666,0.625,0.7666666666666666,0.7389962121212121,0.07601038310797009,7,1.0,0.9969230769230769,1.0,1.0,1.0,0.9993846153846153,0.0012307692307692351
0,80,0.14953198432922363,0.02278405954411345,0.012785530090332032,0.002997512355522255,l1,0.2,100.0,"{'clf__penalty': 'l1', 'clf__l1_ratio': np.float64(0.2), 'clf__C': np.float64(100.0)}",0.890625,0.6363636363636364,0.7833333333333333,0.640625,0.7333333333333334,0.7368560606060606,0.09505427666909784,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,80,0.07770342826843261,0.014505914167655239,0.009276437759399413,0.0009582066411342346,elasticnet,0.2,22.854638641349883,"{'clf__penalty': 'elasticnet', 'clf__l1_ratio': np.float64(0.2), 'clf__C': np.float64(22.854638641349883)}",0.890625,0.6545454545454545,0.7666666666666666,0.640625,0.7333333333333334,0.7371590909090908,0.0900899132223852,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,80,0.05395359992980957,0.006537234911157007,0.013350105285644532,0.0031382034251377974,l2,0.2,17.012542798525857,"{'clf__penalty': 'l2', 'clf__l1_ratio': np.float64(0.2), 'clf__C': np.float64(17.012542798525857)}",0.890625,0.6545454545454545,0.7666666666666666,0.65625,0.7333333333333334,0.7402840909090909,0.08690176578318232,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,80,0.04870572090148926,0.0069151821855347115,0.011093759536743164,0.0024974745795027335,l2,0.7000000000000001,9.426684551178845,"{'clf__penalty': 'l2', 'clf__l1_ratio': np.float64(0.7000000000000001), 'clf__C': np.float64(9.426684551178845)}",0.890625,0.6727272727272727,0.7666666666666666,0.65625,0.75,0.7472537878787879,0.0833973583249129,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,80,0.034990787506103516,0.004931682666658231,0.01028757095336914,0.0016866512957189983,l1,0.7000000000000001,0.0024244620170823282,"{'clf__penalty': 'l1', 'clf__l1_ratio': np.float64(0.7000000000000001), 'clf__C': np.float64(0.0024244620170823282)}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,15,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0,80,0.031871986389160153,0.003923370329650191,0.010526657104492188,0.0017986044586137382,l1,0.1,0.062355073412739125,"{'clf__penalty': 'l1', 'clf__l1_ratio': np.float64(0.1), 'clf__C': np.float64(0.062355073412739125)}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,15,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0,80,0.08668789863586426,0.005091347920618548,0.00778508186340332,0.0016742896736554294,elasticnet,0.5,55.41020330009481,"{'clf__penalty': 'elasticnet', 'clf__l1_ratio': np.float64(0.5), 'clf__C': np.float64(55.41020330009481)}",0.890625,0.6363636363636364,0.7833333333333333,0.640625,0.7333333333333334,0.7368560606060606,0.09505427666909784,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,80,0.030259180068969726,0.0025801868073038656,0.007926559448242188,0.0018419585721923281,l2,0.0,0.019144819761699575,"{'clf__penalty': 'l2', 'clf__l1_ratio': np.float64(0.0), 'clf__C': np.float64(0.019144819761699575)}",0.78125,0.7636363636363637,0.7,0.734375,0.75,0.7458522727272727,0.027642848371969623,4,0.9391025641025641,0.8769230769230769,0.9375,0.9385714285714286,0.9613636363636364,0.9306921411921412,0.028323199724293598
1,240,0.05178289413452149,0.002003087471401109,0.00960683822631836,0.0025278506253640465,elasticnet,0.0,2.154434690031882,"{'clf__penalty': 'elasticnet', 'clf__l1_ratio': np.float64(0.0), 'clf__C': np.float64(2.154434690031882)}",0.8693284936479129,0.8361344537815126,0.61328125,0.6462962962962963,0.7232323232323232,0.737654563391609,0.10105381515037165,8,0.9206370272063702,0.9057540884312538,0.9481088254810882,0.9424894957983194,0.919442761962447,0.9272864397758959,0.01571040917650977
1,240,0.08130583763122559,0.012695804951080608,0.009100532531738282,0.0027674598916230964,l2,0.2,17.012542798525857,"{'clf__penalty': 'l2', 'clf__l1_ratio': np.float64(0.2), 'clf__C': np.float64(17.012542798525857)}",0.852994555353902,0.838235294117647,0.583984375,0.6314814814814815,0.688888888888889,0.7191169189683839,0.10859734524172163,13,0.925149303251493,0.9126589945487583,0.9540809555408095,0.9503676470588236,0.932404603270745,0.934932300734126,0.015512042803625854
